"","lake","date","day","atmp_C","RH_pct","irr_factor","ltmp_bot_C","ltmp_surf_C","area_m2","vol_m3","dV_m3","P_mm","E_mm","I_mm","P_m3","E_m3","I_m3","C_lake","dC_lake","C_pcpn","C_GWin","C_evap","C_ice","res_time","GWin_m3","C_lake_meas","C_lake_calc","P_lake","P_sed","ks","ks_tmp","kr","kr_tmp","dep","fd","sed","rel","TP_in"
"31","Pleasant",2018-07-29,210,19.55,70.45,0.863209366648874,18.1404583333333,24.81975,547680.652097988,2673731.38487373,-1917.76606953982,0,3.23183169673832,0,0,1770.01169114059,0,0.00979142857142857,0.000112857142857142,0,0.0391172427234927,0,0,376,7110.98772572801,NA,0.0105585253440564,0.0515458424215749,3.07001637331247,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.00082116932613609,0.00123941390475357,0.000421253195015431
"32","Pleasant",2018-07-30,211,19.75,75.85,0.858117829634809,18.360375,24.9496666666667,547974.627752909,2677073.77716639,3342.39229265321,1.78,3.00050475076637,0,975.394837400179,1644.20047387204,0,0.00990428571428571,0.000112857142857144,0,0.0391172427234927,0,0,376,6144.4822295317,NA,0.0106086473818216,0.0518274574747018,3.06959859610205,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.0008253837273047,0.00126188785406162,0.000348871279853945
"33","Pleasant",2018-07-31,212,20.4,73.9,0.852940481552876,18.5405833333333,24.9851666666667,548398.723779681,2681895.58899841,4821.81183202518,0,4.59351207342583,0,0,2519.07615873328,0,0.0100171428571429,0.000112857142857142,0,0.0391172427234927,0,0,376,7132.70103457024,NA,0.0106589586520681,0.0521266971507076,3.06916267510026,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000829384939191526,0.00128056828229189,0.00043527897825103
"34","Pleasant",2018-08-01,213,21.25,76,0.84767784013357,18.74375,25.0465416666667,548258.964861767,2680306.58282649,-1589.0061719222,14.73,3.27525212742488,0,8075.85455241384,1795.68634104327,0,0.01013,0.000112857142857144,0,0.0391172427234927,0,0,376,-947.379598088065,NA,0.0107264497976469,0.052439040390775,3.06871128341682,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000834787619099512,0.00130197737706844,-0.000155517556825767
"35","Pleasant",2018-08-02,214,18.65,86.7,0.842330431636646,19.0500416666667,24.761125,548538.482697595,2683484.59517033,3178.0123438444,0.25,5.9915310282667,0,137.134620674399,3286.58533928098,0,0.0102428571428571,0.000112857142857142,0,0.0391172427234927,0,0,376,6999.79249414032,NA,0.0107863184136418,0.052767344889396,3.0682446826114,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000838740441170656,0.00133502496054349,0.000439629035179661
"36","Pleasant",2018-08-03,215,18.65,82.6,0.836898790798498,19.0945416666667,24.5657083333333,548273.422680861,2680470.9627753,-3013.63239503559,0,5.23011194826074,0,0,2867.53137887698,0,0.0103557142857143,0.000112857142857144,0,0.0391172427234927,0,0,376,7128.91213504069,NA,0.0108661528671461,0.0531238722005619,3.06774898826395,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000844461411865807,0.0013397087420824,0.000440539246819586
"37","Pleasant",2018-08-04,216,25.1,76.55,0.831383460778683,19.2432083333333,24.7703333333333,548138.48303598,2678936.74991967,-1534.21285563149,4.57,2.77821866687979,0,2504.99286747443,1522.84856560573,0,0.0104685714285714,0.000112857142857142,0,0.0391172427234927,0,0,376,4619.83891422681,NA,0.0109421872834981,0.0534781420124127,3.06725405493674,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000850883863709697,0.00135598895622007,0.000234390425844149
"38","Pleasant",2018-08-05,217,24.6,80.05,0.825784993105608,19.38,25.023375,547984.266298973,2677183.36379894,-1753.38612073101,0,2.31691617135521,0,0,1269.63360823631,0,0.0105814285714286,0.000112857142857144,0,0.0391172427234927,0,0,376,7120.16852074185,NA,0.0110206591255227,0.0538415554669431,3.06674949534599,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000857625895163022,0.00137112145916118,0.000407194793924369
"39","Pleasant",2018-08-06,218,22.75,85,0.820103947621374,19.5089166666667,25.107,547936.073568656,2676635.43063619,-547.933162747882,2.28,2.62932682080913,0,1249.29424773654,1440.70301432291,0,0.0106942857142857,0.000112857142857142,0,0.0391172427234927,0,0,376,5869.41700395545,NA,0.0110978367457687,0.054212278530369,3.0662364292362,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000863844912650009,0.00138552032992392,0.000320570034386076
"40","Pleasant",2018-08-07,219,19.7,85.85,0.814340892425796,19.5692916666667,24.9789166666667,547791.495377712,2674991.63114801,-1643.79948818125,0,4.22192128057606,0,0,2312.73257165374,0,0.0108071428571429,0.000112857142857144,0,0.0391172427234927,0,0,376,7114.33944454257,NA,0.0111791457820783,0.0545903353059973,3.06571532518896,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000869845217416534,0.00139218804736553,0.000426504404867009
"41","Pleasant",2018-08-08,220,21.5,78.8,0.80849640381959,19.7575416666667,25.14375,547661.375005861,2673512.21160863,-1479.41953937244,0,3.7992817690962,0,0,2080.71987769793,0,0.01092,0.000112857142857142,0,0.0391172427234927,0,0,376,7110.40481810807,NA,0.0112600480761661,0.0549680466960229,3.06519354629132,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.00087656630682157,0.00141369324325154,0.000420952440094914
